
,,,Salary,Salary,Salary,Salary,Salary,,
93,Goran Dragic,PHO,$7500000,$7500000,,,,Cap Space,$7500000
94,Wesley Matthews,POR,$7245640,,,,,MLE,$6107640
95,Isaiah Thomas,PHO,$7238606,$6912869,$6587132,$6261395,,,$27000002
96,Avery Bradley,BOS,$7191011,$7730337,$8269663,$8808989,,Bird Rights,$32000000
97,Pau Gasol,CHI,$7128000,$7448760,$7769520,,,Cap Space,$14576760
98,Jose Calderon,NYK,$7097191,$7402812,$7708427,,,Cap Space,$22208430
99,Kyrie Irving,CLE,$7070730,$14746000,$15851950,$16957900,$18063850,Early Bird Rights,$72690430
100,Amir Johnson,TOR,$7000000,,,,,Bird Rights,$5000000
,,,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
101,Manu Ginobili,SAS,$7000000,,,,,Bird Rights,$7000000
102,Marvin Williams,CHO,$7000000,$7000000,,,,,$14000000
103,Brandon Bass,BOS,$6900000,,,,,Bird Rights,$6900000
104,Kevin Martin,MIN,$6792500,$7085000,$7377500,,,Bird Rights,$13877500
105,Wilson Chandler,DEN,$6757913,$7171663,,,,Bird Rights,$8757913
106,Drew Gooden,MIL,$6680000,,,,,,
107,Jason Richardson,PHI,$6601125,,,,,Bird Rights,$6601125
108,Glen Davis,ORL,$6600000,,,,,,$6600000
109,Mike Miller,MIA,$6600000,,,,,,
110,J.J. Redick,LAC,$6583500,$6867000,$7150500,,,Bird Rights,$20601000
111,Luis Scola,HOU,$6541000,,,,,,
112,Carl Landry,SAC,$6500000,$6500000,$6500000,,,Cap Space,$19500000
113,Greivis Vasquez,TOR,$6400000,$6600000,,,,Bird Rights,$13000000
114,Derrick Williams,SAC,$6331404,,,,,1st Round Pick,$6331404
115,Jarrett Jack,BRK,$6300000,$6300000,$6300000,,,Cap Space,$13100000
116,Kyle Korver,ATL,$6253521,$5746479,$5239437,,,Bird Rights,$17239437
117,Landry Fields,TOR,$6250000,,,,,Cap Space,$6250000
118,Robin Lopez,POR,$6124728,,,,,Bird Rights,$5340229
119,Jason Thompson,SAC,$6037500,$6431250,$6825000,,,Bird Rights,$15118750
120,Jodie Meeks,DET,$6000000,$6270000,$6540000,,,Cap Space,$18800000
,,,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
121,Gerald Henderson,CHO,$6000000,$6000000,,,,Bird Rights,$6000000
